date,location,new_cases,new_deaths,total_cases,total_deaths
2/25/20,Afghanistan,,,1,
2/26/20,Afghanistan,0,,1,
2/27/20,Afghanistan,0,,1,
2/28/20,Afghanistan,0,,1,
2/29/20,Afghanistan,0,,1,
3/1/20,Afghanistan,0,,1,
3/2/20,Afghanistan,0,,1,
3/3/20,Afghanistan,0,,1,
3/4/20,Afghanistan,0,,1,
3/5/20,Afghanistan,0,,1,
3/6/20,Afghanistan,0,,1,
3/7/20,Afghanistan,0,,1,
3/8/20,Afghanistan,3,,4,
3/9/20,Afghanistan,0,,4,
3/10/20,Afghanistan,0,,4,
3/11/20,Afghanistan,0,,4,
3/12/20,Afghanistan,3,,7,
3/13/20,Afghanistan,0,,7,
3/14/20,Afghanistan,0,,7,
3/9/20,Albania,,,2,
3/10/20,Albania,0,,2,
3/11/20,Albania,8,,10,
3/12/20,Albania,0,,10,
3/13/20,Albania,13,,23,
3/14/20,Albania,10,,33,1
2/26/20,Algeria,,,1,
2/27/20,Algeria,0,,1,
2/28/20,Algeria,0,,1,
2/29/20,Algeria,0,,1,
3/1/20,Algeria,0,,1,
3/2/20,Algeria,0,,1,
3/3/20,Algeria,4,,5,
3/4/20,Algeria,0,,5,
3/5/20,Algeria,7,,12,
3/6/20,Algeria,0,,12,
3/7/20,Algeria,5,,17,
3/8/20,Algeria,0,,17,
3/9/20,Algeria,3,,20,
3/10/20,Algeria,0,,20,
3/11/20,Algeria,0,,20,
3/12/20,Algeria,5,,25,1
3/13/20,Algeria,0,0,25,1
3/14/20,Algeria,1,1,26,2
3/3/20,Andorra,,,1,
3/4/20,Andorra,0,,1,
3/5/20,Andorra,0,,1,
3/6/20,Andorra,0,,1,
3/7/20,Andorra,0,,1,
3/8/20,Andorra,0,,1,
3/9/20,Andorra,0,,1,
3/10/20,Andorra,0,,1,
3/11/20,Andorra,0,,1,
3/12/20,Andorra,0,,1,
3/13/20,Andorra,0,,1,
3/14/20,Andorra,1,,2,
3/14/20,Antigua and Barbuda,,,1,
3/4/20,Argentina,,,1,
3/5/20,Argentina,0,,1,
3/6/20,Argentina,0,,1,
3/7/20,Argentina,1,,2,
3/8/20,Argentina,7,,9,1
3/9/20,Argentina,3,0,12,1
3/10/20,Argentina,0,0,12,1
3/11/20,Argentina,5,0,17,1
3/12/20,Argentina,2,0,19,1
3/13/20,Argentina,12,0,31,1
3/14/20,Argentina,3,1,34,2
3/2/20,Armenia,,,1,
3/3/20,Armenia,0,,1,
3/4/20,Armenia,0,,1,
3/5/20,Armenia,0,,1,
3/6/20,Armenia,0,,1,
3/7/20,Armenia,0,,1,
3/8/20,Armenia,0,,1,
3/9/20,Armenia,0,,1,
3/10/20,Armenia,0,,1,
3/11/20,Armenia,0,,1,
3/12/20,Armenia,0,,1,
3/13/20,Armenia,0,,1,
3/14/20,Armenia,7,,8,
1/25/20,Australia,,,3,
1/26/20,Australia,1,,4,
1/27/20,Australia,0,,4,
1/28/20,Australia,1,,5,
1/29/20,Australia,2,,7,
1/30/20,Australia,0,,7,
1/31/20,Australia,2,,9,
2/1/20,Australia,3,,12,
2/2/20,Australia,0,,12,
2/3/20,Australia,0,,12,
2/4/20,Australia,0,,12,
2/5/20,Australia,1,,13,
2/6/20,Australia,1,,14,
2/7/20,Australia,1,,15,
2/8/20,Australia,0,,15,
2/9/20,Australia,0,,15,
2/10/20,Australia,0,,15,
2/11/20,Australia,0,,15,
2/12/20,Australia,0,,15,
2/13/20,Australia,0,,15,
2/14/20,Australia,0,,15,
2/15/20,Australia,0,,15,
2/16/20,Australia,0,,15,
2/17/20,Australia,0,,15,
2/18/20,Australia,0,,15,
2/19/20,Australia,0,,15,
2/20/20,Australia,0,,15,
2/21/20,Australia,2,,17,
2/22/20,Australia,4,,21,
